Món ăn,Phân loại,Nguyên liệu,Các bước thực hiện,Calo (kcal/100g),Protein (g),Lipid (g),Glucid (g),Ghi chú sức khỏe
Cá diêu hồng hấp xì dầu,Món hấp,"1 con cá diêu hồng; Gừng, hành lá, thì là; Xì dầu, dầu mè, tiêu","Làm sạch cá và khứa nhẹ thân cá; Ướp cá với gừng và xì dầu; Hấp cá đến khi chín; Rưới nước hấp và thêm hành lá, thì là",130,18,5,2,"Ít dầu, phù hợp ăn nhẹ"
Gà luộc lá chanh,Món luộc,"1 con gà ta; Gừng, muối; Lá chanh, tiêu, chanh","Làm sạch gà và xát muối, gừng; Luộc gà với lửa vừa đến chín; Ngâm nước ấm để da vàng đẹp; Chặt miếng và rắc lá chanh thái chỉ",175,20,9,0,"Giàu protein, nên bỏ bớt da nếu muốn giảm béo"
Bắp cải cuốn thịt hấp,Món hấp,"8 lá bắp cải; 200g thịt heo xay; Cà rốt, nấm mèo, hành lá; Gia vị","Chần lá bắp cải cho mềm; Trộn thịt với cà rốt, nấm mèo và gia vị; Cuốn nhân vào lá bắp cải; Hấp chín và dùng với nước chấm nhạt",95,8,5,4,"Nhiều rau, ít dầu mỡ"
Nem lụi,Món nướng,"300g thịt heo xay; Sả cây; Tỏi, hành tím, mật ong; Bánh tráng, rau sống","Ướp thịt với gia vị rồi quết dẻo; Quấn thịt quanh cây sả; Nướng chín vàng đều; Ăn kèm bánh tráng, rau sống và nước chấm",190,11,11,10,Thơm ngon nhưng có thể khá mặn
Bánh xèo,Món bánh,"200g bột gạo; Nước cốt dừa, bột nghệ; 150g tôm, 100g thịt ba chỉ; Giá đỗ, hành lá; Rau sống","Pha bột với nước cốt dừa và bột nghệ; Xào sơ tôm thịt; Đổ bột vào chảo nóng rồi thêm nhân; Gập bánh, chiên vàng và ăn cùng rau sống",210,8,11,19,"Khá nhiều dầu, nên ăn kèm nhiều rau"
Cơm tấm sườn bì chả,Món cơm,"300g cơm tấm; 2 miếng sườn heo; Bì heo, chả trứng; Dưa leo, đồ chua; Nước mắm pha","Ướp sườn rồi nướng chín; Hấp hoặc nướng chả trứng; Chuẩn bị bì và đồ chua; Dọn cơm cùng sườn, bì, chả và nước mắm",215,10,8,25,Khá giàu năng lượng
Bún riêu cua,Món nước,"300g bún; 200g cua đồng xay; Cà chua, đậu hũ; Hành lá, mắm tôm, rau sống; Gia vị","Lọc cua lấy nước và nấu riêu; Xào cà chua rồi cho vào nồi nước dùng; Chần bún và xếp đậu hũ vào tô; Chan nước dùng, thêm rau sống",92,6,3,11,Cung cấp canxi và đạm từ cua
Mì Quảng gà,Món nước,"300g mì Quảng; 300g thịt gà; Nghệ, hành tím, tỏi; Đậu phộng, bánh tráng nướng; Rau sống","Ướp gà với nghệ và gia vị; Xào gà cho săn rồi thêm ít nước dùng; Luộc mì hoặc trụng mì; Dọn mì với gà, rau sống và đậu phộng",140,9,5,15,Tương đối cân bằng nếu dùng ít dầu
Hủ tiếu Nam Vang,Món nước,"300g hủ tiếu; Tôm, thịt bằm, gan heo; Hẹ, giá đỗ, tỏi phi; Gia vị","Nấu nước dùng từ xương cho ngọt; Xào hoặc trụng sơ tôm, thịt và gan; Chần hủ tiếu và rau; Chan nước dùng, thêm topping và tỏi phi",105,7,3,12,Nên giảm tỏi phi nếu muốn bớt béo
Cháo gà,Món cháo,"150g gạo; 300g thịt gà; Gừng, hành lá, rau răm; Muối, tiêu","Luộc gà lấy nước dùng; Vo gạo rồi nấu nhừ với nước gà; Xé thịt gà thành sợi; Múc cháo ra tô và thêm hành lá, rau răm",75,5,2,9,"Dễ tiêu, phù hợp khi mệt"
Xôi xéo,Món xôi,"300g gạo nếp; 150g đậu xanh; Hành phi, mỡ gà hoặc dầu; Muối",Ngâm nếp và đậu xanh qua đêm; Đồ xôi chín dẻo; Hấp chín đậu xanh rồi giã mịn; Rắc đậu xanh và hành phi lên xôi,240,5,5,44,"Nhiều tinh bột, no lâu"
Bánh cuốn,Món bánh,"200g bột gạo; 150g thịt băm; Mộc nhĩ, hành tím; Chả lụa, hành phi; Nước mắm pha","Pha bột gạo với nước; Xào nhân thịt băm và mộc nhĩ; Tráng lớp bánh mỏng rồi cuốn nhân; Dùng với chả lụa, hành phi và nước mắm",145,6,4,20,"Mềm dễ ăn, nên kiểm soát nước chấm"
Bún mắm,Món nước,"300g bún; 200g cá, tôm, mực; Mắm cá linh hoặc mắm sặc; Cà tím, sả, rau sống; Gia vị",Nấu nước mắm lọc bỏ cặn; Thêm sả và nấu cùng hải sản; Chần bún và chuẩn bị rau sống; Chan nước dùng lên bún và thêm topping,115,8,3,13,"Hương vị đậm, lượng natri khá cao"
Gà kho gừng,Món mặn,"500g thịt gà; 1 củ gừng lớn; Hành tím, nước mắm, đường; Tiêu",Chặt gà miếng vừa ăn và ướp gia vị; Phi thơm hành và gừng; Cho gà vào đảo săn; Thêm ít nước và kho đến khi thấm,185,17,11,3,"Ấm bụng, nên bớt da để giảm chất béo"
Tôm rim mặn ngọt,Món mặn,"400g tôm tươi; Hành tím, tỏi; Nước mắm, đường, tiêu; Hành lá","Sơ chế tôm và ướp nhẹ; Phi thơm hành tỏi rồi cho tôm vào đảo; Nêm nước mắm, đường cho sệt lại; Rắc hành lá và tiêu",145,18,4,8,"Giàu protein, có cholesterol tự nhiên"
Cà tím nướng mỡ hành,Món nướng,"3 quả cà tím; Hành lá; Dầu ăn hoặc mỡ hành; Đậu phộng rang, nước mắm",Nướng cà tím đến khi mềm; Bóc vỏ hoặc xẻ dọc thân cà; Rưới mỡ hành và nước mắm nhạt; Rắc đậu phộng rang trước khi dùng,95,2,6,8,"Có chất xơ, nên dùng ít mỡ hành"
Nộm hoa chuối tai heo,Món gỏi,"1 bắp hoa chuối; 150g tai heo; Cà rốt, rau răm, đậu phộng; Chanh, tỏi, ớt, nước mắm","Luộc tai heo rồi thái mỏng; Sơ chế hoa chuối, ngâm nước chanh cho trắng; Trộn hoa chuối với tai heo, cà rốt và rau; Rưới nước trộn nộm và rắc đậu phộng",105,7,5,8,"Giàu chất xơ, vị chua ngọt dễ ăn"
Bún thang,Món nước,"300g bún; ức gà luộc; Trứng tráng, giò lụa, nấm hương; Hành lá, rau răm; Nước dùng gà","Luộc gà lấy nước dùng trong; Thái nhỏ gà, trứng tráng và giò lụa; Chần bún và xếp topping gọn trong tô; Chan nước dùng nóng và thêm rau thơm",90,7,2,11,"Thanh nhẹ, ít dầu mỡ"
Bánh bèo chén,Món bánh,"200g bột gạo; Tôm khô, tóp mỡ; Hành lá, nước mắm, ớt; Dầu ăn",Pha bột gạo với nước; Rót bột vào chén nhỏ và hấp chín; Làm nhân tôm khô và mỡ hành; Rưới nước mắm và dùng nóng,155,5,5,22,"Khá nhiều tinh bột, nên dùng vừa phải"
Chè đậu xanh nước cốt dừa,Món chè,"200g đậu xanh cà vỏ; Đường; Nước cốt dừa; Muối, bột năng",Ngâm đậu xanh rồi nấu mềm; Thêm đường và khuấy đều; Nấu nước cốt dừa riêng với chút muối; Múc chè ra chén và chan nước cốt dừa,165,4,5,26,"Món ngọt, nên giảm đường nếu cần"
